"","power","alpha","sample_size","test","means","mean_x","mean_y"
"90",1,0.035,1000,"z.test","4, 4.5",4,4.5
"91",1,0.05,1100,"z.test","4, 4.5",4,4.5
"92",1,0.069,1200,"z.test","4, 4.5",4,4.5
"93",1,0.048,1300,"z.test","4, 4.5",4,4.5
"94",1,0.038,1400,"z.test","4, 4.5",4,4.5
"95",1,0.052,1500,"z.test","4, 4.5",4,4.5
"96",1,0.036,1600,"z.test","4, 4.5",4,4.5
"97",1,0.061,1700,"z.test","4, 4.5",4,4.5
"98",1,0.046,1800,"z.test","4, 4.5",4,4.5
"99",1,0.056,1900,"z.test","4, 4.5",4,4.5
"100",1,0.048,2000,"z.test","4, 4.5",4,4.5
"101",0.795,0.053,100,"z.test","4, 4.8",4,4.8
"102",0.985,0.051,200,"z.test","4, 4.8",4,4.8
"103",1,0.051,300,"z.test","4, 4.8",4,4.8
"104",1,0.059,400,"z.test","4, 4.8",4,4.8
"105",1,0.048,500,"z.test","4, 4.8",4,4.8
"106",1,0.048,600,"z.test","4, 4.8",4,4.8
"107",1,0.047,700,"z.test","4, 4.8",4,4.8
"108",1,0.047,800,"z.test","4, 4.8",4,4.8
"109",1,0.05,900,"z.test","4, 4.8",4,4.8
"110",1,0.046,1000,"z.test","4, 4.8",4,4.8
"111",1,0.053,1100,"z.test","4, 4.8",4,4.8
"112",1,0.049,1200,"z.test","4, 4.8",4,4.8
"113",1,0.051,1300,"z.test","4, 4.8",4,4.8
"114",1,0.043,1400,"z.test","4, 4.8",4,4.8
"115",1,0.058,1500,"z.test","4, 4.8",4,4.8
"116",1,0.05,1600,"z.test","4, 4.8",4,4.8
"117",1,0.053,1700,"z.test","4, 4.8",4,4.8
"118",1,0.054,1800,"z.test","4, 4.8",4,4.8
"119",1,0.055,1900,"z.test","4, 4.8",4,4.8
"120",1,0.05,2000,"z.test","4, 4.8",4,4.8
"121",0.11,0.045,100,"wilcox.test","4, 4.2",4,4.2
"122",0.16,0.051,200,"wilcox.test","4, 4.2",4,4.2
"123",0.204,0.053,300,"wilcox.test","4, 4.2",4,4.2
"124",0.274,0.058,400,"wilcox.test","4, 4.2",4,4.2
"125",0.335,0.044,500,"wilcox.test","4, 4.2",4,4.2
"126",0.416,0.057,600,"wilcox.test","4, 4.2",4,4.2
"127",0.457,0.047,700,"wilcox.test","4, 4.2",4,4.2
"128",0.499,0.058,800,"wilcox.test","4, 4.2",4,4.2
"129",0.574,0.047,900,"wilcox.test","4, 4.2",4,4.2
"130",0.573,0.046,1000,"wilcox.test","4, 4.2",4,4.2
"131",0.626,0.053,1100,"wilcox.test","4, 4.2",4,4.2
"132",0.677,0.036,1200,"wilcox.test","4, 4.2",4,4.2
"133",0.692,0.065,1300,"wilcox.test","4, 4.2",4,4.2
"134",0.714,0.042,1400,"wilcox.test","4, 4.2",4,4.2
"135",0.722,0.065,1500,"wilcox.test","4, 4.2",4,4.2
"136",0.787,0.053,1600,"wilcox.test","4, 4.2",4,4.2
"137",0.812,0.048,1700,"wilcox.test","4, 4.2",4,4.2
"138",0.85,0.052,1800,"wilcox.test","4, 4.2",4,4.2
"139",0.854,0.054,1900,"wilcox.test","4, 4.2",4,4.2
"140",0.859,0.057,2000,"wilcox.test","4, 4.2",4,4.2
"141",0.411,0.049,100,"wilcox.test","4, 4.5",4,4.5
"142",0.666,0.044,200,"wilcox.test","4, 4.5",4,4.5
"143",0.862,0.058,300,"wilcox.test","4, 4.5",4,4.5
"144",0.935,0.051,400,"wilcox.test","4, 4.5",4,4.5
"145",0.977,0.058,500,"wilcox.test","4, 4.5",4,4.5
"146",0.988,0.049,600,"wilcox.test","4, 4.5",4,4.5
"147",0.997,0.041,700,"wilcox.test","4, 4.5",4,4.5
"148",1,0.038,800,"wilcox.test","4, 4.5",4,4.5
"149",1,0.055,900,"wilcox.test","4, 4.5",4,4.5
"150",0.999,0.042,1000,"wilcox.test","4, 4.5",4,4.5
"151",1,0.046,1100,"wilcox.test","4, 4.5",4,4.5
"152",1,0.046,1200,"wilcox.test","4, 4.5",4,4.5
"153",1,0.05,1300,"wilcox.test","4, 4.5",4,4.5
"154",1,0.043,1400,"wilcox.test","4, 4.5",4,4.5
"155",1,0.053,1500,"wilcox.test","4, 4.5",4,4.5
"156",1,0.056,1600,"wilcox.test","4, 4.5",4,4.5
"157",1,0.064,1700,"wilcox.test","4, 4.5",4,4.5
"158",1,0.046,1800,"wilcox.test","4, 4.5",4,4.5
"159",1,0.055,1900,"wilcox.test","4, 4.5",4,4.5
"160",1,0.054,2000,"wilcox.test","4, 4.5",4,4.5
"161",0.775,0.053,100,"wilcox.test","4, 4.8",4,4.8
"162",0.978,0.041,200,"wilcox.test","4, 4.8",4,4.8
"163",0.998,0.048,300,"wilcox.test","4, 4.8",4,4.8
"164",1,0.059,400,"wilcox.test","4, 4.8",4,4.8
"165",1,0.046,500,"wilcox.test","4, 4.8",4,4.8
"166",1,0.036,600,"wilcox.test","4, 4.8",4,4.8
"167",1,0.055,700,"wilcox.test","4, 4.8",4,4.8
"168",1,0.045,800,"wilcox.test","4, 4.8",4,4.8
"169",1,0.051,900,"wilcox.test","4, 4.8",4,4.8
"170",1,0.048,1000,"wilcox.test","4, 4.8",4,4.8
"171",1,0.052,1100,"wilcox.test","4, 4.8",4,4.8
"172",1,0.057,1200,"wilcox.test","4, 4.8",4,4.8
"173",1,0.047,1300,"wilcox.test","4, 4.8",4,4.8
"174",1,0.043,1400,"wilcox.test","4, 4.8",4,4.8
"175",1,0.049,1500,"wilcox.test","4, 4.8",4,4.8
"176",1,0.036,1600,"wilcox.test","4, 4.8",4,4.8
"177",1,0.059,1700,"wilcox.test","4, 4.8",4,4.8
"178",1,0.05,1800,"wilcox.test","4, 4.8",4,4.8
"179",1,0.041,1900,"wilcox.test","4, 4.8",4,4.8
"180",1,0.048,2000,"wilcox.test","4, 4.8",4,4.8
